id,name,description,short_description,founded_on,operating_status,company_type,num_employees_enum,rank_org,rank_org_company,rank_delta_d7,rank_delta_d30,rank_delta_d90,linkedin,semrush_visits_latest_month,semrush_visits_latest_6_months_avg,semrush_visits_mom_pct,semrush_bounce_rate,semrush_visit_duration,semrush_visit_pageviews,semrush_global_rank,funding_total_usd,equity_funding_total_usd,last_equity_funding_total_usd,num_funding_rounds,last_funding_total_usd,last_equity_funding_type,num_investors,funding_stage,last_funding_type,ipo_status,stock_symbol,ipo_valuation_usd,ipo_amount_raised_usd,categories,locations,city,region,country,num_founders,founders,acquisition_status,num_acquisitions,ipqwery_num_patent_granted,ipqwery_num_trademark_registered,hub_tags,num_org_similarities,is_hub_tag_present,has_siftery_profile,is_num_founders_missing,has_website_traffic,semrush_bounce_rate_missing,semrush_visit_duration_missing,semrush_visit_pageviews_missing,semrush_global_rank_missing,has_funding_total_usd,has_equity_funding_total_usd,has_last_equity_funding_total_usd,has_last_funding_total_usd,has_num_funding_rounds,has_last_funding_at,has_ipqwery_num_patent_granted,has_ipqwery_num_trademark_registered
e10aaff2-4d89-46d4-820b-b4f64b8d42ca,Anthropic,"Anthropic conducts AI research and develops AI products, including the Claude AI model family. The company focuses on building AI for human well-being, emphasizing safety in its research, policy work, and product design. Anthropic offers various Claude models, such as Opus and Sonnet, for AI-powered applications and custom experiences, supporting coding and AI agents.",Anthropic is an AI research company that focuses on the safety and alignment of AI systems with human values.,2021-01-01,active,for_profit,1001-5000,1,1,0.0,0.0,0.0,https://www.linkedin.com/company/anthropicresearch,11734079.0,13767106.8333333,-0.0295913915891595,0.6945,569.0,2.5458,5014.0,33740377627.0,25904000000.0,13000000000.0,16.0,13000000000.0,series_f,88.0,late_stage_venture,series_f,private,N/A,0.0,0.0,"Artificial Intelligence (AI),Generative AI,Information Technology,Machine Learning","San Francisco,California,United States,North America",San Francisco,California,United States,6.0,"Daniela Amodei,Dario Amodei,Jack Clark,Jared Kaplan,Sam McCandlish,Tom Brown",Acquirer,1.0,1.0,12.0,unicorn,304.0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
5639c94c-408b-450a-9694-df238f6d9da9,Perplexity,Perplexity is a answer engine that utilizes artificial intelligence (AI) to integrate large language models and search engines. The platform utilizes natural language processing (NLP) and generative AI technologies to provide conversational responses to user queries. The platform is designed to bridge the gap between traditional search engines and AI-driven interactive assistance.,"Perplexity is an AI-powered answer engine designed to provide accurate, real-time responses to user queries.",2022-08-01,active,for_profit,101-250,4,4,0.0,0.0,-0.1,https://www.linkedin.com/company/perplexity-ai,276504099.0,185950931.666667,0.42256372197409,0.3972,703.0,4.3827,115.0,1475000000.0,1475000000.0,200000000.0,11.0,200000000.0,series_unknown,49.0,Unknown,series_unknown,private,N/A,0.0,0.0,"Artificial Intelligence (AI),Chatbot,Machine Learning,Natural Language Processing,Search Engine","San Francisco,California,United States,North America",San Francisco,California,United States,4.0,"Andy Konwinski,Aravind Srinivas,Denis Yarats,Johnny Ho",Acquirer,4.0,1.0,4.0,unicorn,188.0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
8cc30f3a-e99b-4660-aa15-4604b9859fd5,ElevenLabs,"ElevenLabs is an AI company that offers tools for speech synthesis, voice cloning, dubbing, and audio generation. It provides platforms for creating and deploying voice agents, generating expressive speech in dozens of languages, and localizing content at scale. Its services include a developer API, creative tools for content creators, and solutions for enterprises to integrate AI voice into applications. The company also supports features like voice design, voice isolation, and audio effects. It enables clients to convert text into realistic speech, clone voices from short samples, and translate spoken content while retaining tone and emotion.","ElevenLabs is an AI company that offers tools for speech synthesis, voice cloning, dubbing, and audio generation.",2022-04-17,active,for_profit,251-500,10,9,6.9,5.1,6.5,https://www.linkedin.com/company/elevenlabsio,43875406.0,45310681.3333333,0.0997432727916582,0.4116,598.0,6.1847,1055.0,281000000.0,281000000.0,0.0,7.0,0.0,undisclosed,42.0,Unknown,undisclosed,private,N/A,0.0,0.0,"Artificial Intelligence (AI),Content Creators,Developer APIs,Generative AI","New York,New York,United States,North America",New York,New York,United States,2.0,"Mati Staniszewski,Piotr Dabkowski",Independent,0.0,0.0,1.0,unicorn,369.0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
d290e89a-261f-4f1a-aebb-ec9b8455128b,Harvey,"Harvey offers AI-powered solutions designed to streamline legal work for law firms and corporate legal teams. Its tools support tasks such as document review, contract analysis, legal research, and due diligence, helping professionals save time and improve accuracy. The platform uses natural language processing to interpret complex legal language and generate relevant insights. Harvey’s services are tailored to meet the specific needs of clients across various practice areas.","Harvey provides AI-driven tools to assist legal professionals with research, document review, and contract analysis.",2022-01-01,active,for_profit,251-500,18,16,-0.9,4.1,7.9,https://www.linkedin.com/company/harvey-ai,374951.0,231668.5,0.63714758521921,0.4996,899.0,5.5154,111004.0,1015000000.0,1015000000.0,150000000.0,8.0,150000000.0,series_f,19.0,late_stage_venture,series_f,private,N/A,0.0,0.0,"Artificial Intelligence (AI),Information Technology,Legal,Legal Tech","San Francisco,California,United States,North America",San Francisco,California,United States,2.0,"Gabe Pereyra,Winston Weinberg",Acquirer,1.0,0.0,0.0,unicorn,243.0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
539e8d1c-d32e-4ced-8a6a-c2ef72f0f641,Chainguard,"Chainguard provides hardened, minimal container images that are continuously rebuilt from source in secure environments, aiming to eliminate known vulnerabilities and ensure end-to-end integrity. These images come with built-in cryptographic signatures, Software Bill of Materials (SBOMs), and Supply-chain Levels for Software Artifacts (SLSA) provenance. In addition to container images, Chainguard offers a catalog of guarded Java dependencies through its Chainguard Libraries, built securely from source in SLSA-certified infrastructure. The company also contributes to and maintains several widely used open source projects, reflecting its commitment to the open source community.",Chainguard is a cloud-native development platform that provides low-to-zero CVE container images for building and running applications.,2021-10-01,active,for_profit,251-500,21,18,-0.3,7.9,7.7,https://www.linkedin.com/company/chainguard-dev,66322.0,48323.3333333333,0.403640211640212,0.6825,406.0,2.5008,430292.0,892000000.0,612000000.0,356000000.0,6.0,280000000.0,series_d,25.0,late_stage_venture,debt_financing,private,N/A,0.0,0.0,"Cloud Security,Developer Tools,Enterprise Software,Open Source,Security","Kirkland,Washington,United States,North America",Kirkland,Washington,United States,3.0,"Dan Lorenc,Kim Lewandowski,Ville Aikas",Independent,0.0,0.0,5.0,unicorn,61.0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
f52eef6a-6620-4bef-af3d-1a7d0d0a8b63,Fireworks AI,"Fireworks AI provides a cloud-based platform that enables developers and enterprises to run, fine-tune and deploy open-source large language, vision and multimodal models through a low-latency inference engine. The company offers serverless infrastructure that handles model lifecycle management from development to production, and gives users access to a library of pre-optimised models alongside the ability to customise models for their own data and use cases. Through partnerships with leading GPU and cloud hardware providers, Fireworks AI supports high throughput, reduced latency and scalable deployments without requiring customers to provision or manage their own infrastructure. The platform addresses the challenge of converting prototype AI models into operational applications by combining infrastructure optimisation, developer tools and enterprise-grade compliance.","Fireworks AI is an advanced platform that enables users to build, tune, and scale AI applications using open-source models",2022-10-24,active,for_profit,101-250,27,22,1.6,9.7,9.5,https://www.linkedin.com/company/fireworks-ai,113538.0,84527.8333333333,0.290556515413295,0.5382,298.0,2.8772,283939.0,327000000.0,307000000.0,230000000.0,4.0,230000000.0,series_c,13.0,late_stage_venture,series_c,private,N/A,0.0,0.0,"Artificial Intelligence (AI),Data Management,SaaS,Software","Redwood City,California,United States,North America",Redwood City,California,United States,2.0,"Dmytro Ivchenko,Lin Qiao",Independent,0.0,0.0,0.0,unicorn,110.0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
e9465159-8529-4c1c-a3da-b176a9d09980,Anysphere,"Anysphere is an applied research lab focused on automating coding processes. The company develops software and models to create a human-AI programmer, aiming for a significant increase in programming effectiveness. This hybrid approach allows for faster iteration and control over complex codebases.",Anysphere is an applied research lab focused on automating coding through innovative AI solutions.,2022-01-01,active,for_profit,101-250,31,25,7.9,5.8,1.9,https://www.linkedin.com/company/anysphereinc,56705.0,158101.0,-0.329077829574765,0.5135,105.0,1.9332,485869.0,3373400000.0,3373400000.0,2300000000.0,6.0,2300000000.0,series_d,16.0,late_stage_venture,series_d,private,N/A,0.0,0.0,"Artificial Intelligence (AI),Developer Tools,Generative AI,Machine Learning,Software Engineering","San Francisco,California,United States,North America",San Francisco,California,United States,4.0,"Aman Sanger,Arvid Lunnemark,Michael Truell,Sualeh Asif",Acquirer,2.0,0.0,1.0,unicorn,76.0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
4b990430-0369-47c4-a29e-2be27223dde3,Mercor,"Mercor presents an AI-powered platform that helps connect domain experts with roles in AI and other tech disciplines. It supports sourcing, vetting, and payment for talent, offering remote, expert-level assignments across fields like software engineering, consulting, data and legal. Additionally, the platform includes an interview preparation section where candidates can access hundreds of expert-reviewed mock interviews in areas such as software, design, security and analytics. Mercor uses machine-driven interview tools to assess candidate performance, aiming to streamline how expertise is matched to project work.",Mercor is an AI-based hiring platform that improves the recruitment process by matching talent with opportunities tailored to their skills.,2023-01-01,active,for_profit,251-500,41,32,-0.3,7.9,9.6,https://www.linkedin.com/company/mercor-ai,7791510.0,3107709.66666667,0.508389102906987,0.4705,508.0,4.3421,7779.0,483600000.0,483600000.0,350000000.0,4.0,350000000.0,series_c,17.0,late_stage_venture,series_c,private,N/A,0.0,0.0,"Artificial Intelligence (AI),Employment,Machine Learning,Recruiting,Software","San Francisco,California,United States,North America",San Francisco,California,United States,3.0,"Adarsh Hiremath,Brendan Foody,Surya Midha",Independent,0.0,0.0,0.0,unicorn,444.0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0
248c849b-72c3-b2d9-14f0-3a81a5552545,Scribe,"Scribe helps organizations capture and optimize how work gets done. 

Their Workflow AI platform turns processes into living playbooks to train colleagues, assist customers, and drive software adoption. 

Scribe Capture automatically creates and shares step-by-step guides, complete with text and screenshots — no more manual documentation.

Scribe Optimize helps your organization understand how to make work better. It continuously mines workflows to identify the biggest opportunities to improve and turns those insights into data-backed recommendations, with customized business cases to drive the highest ROI transformation.

Trusted by teams at New York Life, T-Mobile, LinkedIn, HubSpot, and Northern Trust, Scribe is used by 94% of the Fortune 500 to work smarter, faster, and deliver exceptional results. Scribe is loved by 5 million users and 600,000 organizations.",Scribe’s Workflow AI platform helps organizations capture and optimize how work gets done.,2019-01-01,active,for_profit,101-250,52,39,4.5,9.7,9.8,https://www.linkedin.com/company/scribehow,106209.0,41758.5,1.92691597541819,0.8326,168.0,1.3586,298800.0,130000000.0,130000000.0,75000000.0,4.0,75000000.0,series_c,18.0,late_stage_venture,series_c,private,N/A,0.0,0.0,"Artificial Intelligence (AI),Internet,Productivity Tools,Software","San Francisco,California,United States,North America",San Francisco,California,United States,2.0,"Aaron Podolny,Jennifer Smith",Independent,0.0,0.0,3.0,unicorn,122.0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0
768a12be-d6e4-4b16-91db-353f1ff6b5dc,Figure,"Figure is an AI robotics company that develops autonomous general-purpose humanoid robots to address labor shortages and reduce the number of workers in unsafe jobs. It also develops commercially viable autonomous humanoid robots that lend support across manufacturing, logistics, warehousing, and retail.",Figure is an AI robotics company that develops autonomous general-purpose humanoid robots.,2022-01-01,active,for_profit,251-500,66,51,-0.8,-3.2,7.5,https://www.linkedin.com/company/figure-ai,511420.0,186130.666666667,1.9344059121893,0.6833,245.0,1.6966,86592.0,1854000000.0,1854000000.0,1000000000.0,5.0,1000000000.0,series_c,42.0,late_stage_venture,series_c,private,N/A,0.0,0.0,"Artificial Intelligence (AI),Hardware,Industrial Automation,Robotics","San Jose,California,United States,North America",San Jose,California,United States,1.0,Brett Adcock,Independent,0.0,0.0,0.0,unicorn,18.0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
